GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
10,-468.2948,-26396.788,-4877.878,120.28691663999999,-26865.0828,-4757.59108336,-31622.67388336
11,-120.6398,-26497.3384,-4707.3572,121.88524752000001,-26617.9782,-4585.47195248,-31203.450152480003
12,-1050.4397,-26528.8292,-4821.3717,117.8436132,-27579.2689,-4703.5280868,-32282.7969868
13,-384.387,-26493.2421,-4869.1175,118.17561528,-26877.6291,-4750.94188472,-31628.570984719998
14,-1177.6151,-26533.8837,-4798.3567,117.6358248,-27711.498799999998,-4680.720875200001,-32392.219675199998
15,-586.9508,-26531.4775,-4776.5697,116.69813423999999,-27118.4283,-4659.87156576,-31778.29986576
16,-646.1626,-26561.0924,-4763.132,117.06075144,-27207.255,-4646.07124856,-31853.326248560003
17,22.5344,-26687.7381,-4601.0241,115.71523776,-26665.2037,-4485.30886224,-31150.512562239997
18,-251.6928,-26591.5375,-4721.9381,119.76947712,-26843.2303,-4602.16862288,-31445.39892288
19,-397.1741,-26602.284,-4742.3287,118.76382648,-26999.4581,-4623.56487352,-31623.02297352
20,218.1592,-26625.9081,-4740.7274,118.30480488,-26407.748900000002,-4622.42259512,-31030.17149512
21,-810.428,-26429.9384,-4802.5763,118.99402416000001,-27240.3664,-4683.58227584,-31923.948675839998
22,-69.4289,-26555.7929,-4742.3157,117.69406128,-26625.2218,-4624.62163872,-31249.84343872
23,-195.9224,-26659.2559,-4664.6897,119.34976680000001,-26855.1783,-4545.3399332,-31400.518233199997
24,-320.1243,-26655.7842,-4629.5746,117.17872992,-26975.908499999998,-4512.39587008,-31488.304370079997
25,-736.888,-26617.674,-4768.6118,120.93780744000001,-27354.561999999998,-4647.6739925599995,-32002.235992559996
26,-204.1505,-26451.3535,-4929.0618,120.0782124,-26655.504,-4808.983587600001,-31464.4875876
27,-1179.5961,-26729.4081,-4698.7511,119.39844599999999,-27909.0042,-4579.352654,-32488.356854
28,-283.8128,-26655.3732,-4678.5227,118.57344696,-26939.186,-4559.94925304,-31499.135253040004
29,-506.7766,-26685.6517,-4692.0711,118.58868288,-27192.4283,-4573.48241712,-31765.91071712
30,-1122.6216,-26504.4868,-4829.3318,122.17700159999998,-27627.108399999997,-4707.1547984,-32334.263198399996
31,-555.6488,-26688.7782,-4710.975,119.42023968000001,-27244.427,-4591.55476032,-31835.981760320003
32,-677.105,-26636.4387,-4718.0908,118.34549136000001,-27313.5437,-4599.74530864,-31913.28900864
